LOAD,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
599,-0.0009605365104602415,-0.0016650952131652685,-0.00784248774652857,0.007921457294865375,-0.007925103565370073,-0.007887682857180112,0.007914548897333396,-0.002002702433635206,-0.007924335167973473,-0.00792785792296169,0.007916354817104121,-762015723332482e-19,2538824263265127e-21,-0.0018800936004767788,0.0017172996112124889,-0.0019186111096006903,-0.0010273419329395461,0.001911648671784158,-0.0005207097826375462,-0.001916661324262492,-0.0019048988481235596,0.0019113334788798259
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,51227661256370016e-21,-0.0002187318863218768,0.002805457049682686,0.002838502827068351,0.002828208695090484,-0.0027942327553904522,-0.002018948697799533,0.0006434608728718982,-0.00283562571784185,-0.002843831325049173,0.002808441123281602,-24832492036275244e-23,-24947012079723496e-23,14939231289257116e-22,17758471174300627e-21,5207135791621131e-21,-20773310825533686e-22,9467705750776378e-22,-24761431581532545e-23,-25717642577249844e-21,-0.00021785607671923057,-7657408744587979e-23
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,-0.0002574805980736783,-0.001346818588756904,0.005785866066184864,-0.006544322596521934,-0.006466162246771823,-0.006463828487545953,-0.005931500505300835,0.003318486443176394,0.006497725663404508,0.006547892855822968,0.006495217899378958,3147484328870631e-21,3223122544672441e-21,2374772470364883e-21,-40174643101013874e-21,18929446679999407e-22,7030404865562834e-22,5961016685186726e-21,3006245293056542e-21,-3092231370813853e-20,0.0003734396484250946,26456069717809005e-22
557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,-0.007403738697267626,-0.011497838939213079,-0.02329584685395214,0.023379440317040867,-0.023382963280243363,-0.02334551594175882,0.023372048137582313,-0.012188649364355486,-0.023382236285855118,-0.023385859004012133,0.023374003999205417,-0.0009110413965446873,3027613622913483e-20,-0.006679463126998242,0.006501391514315613,-0.006718599458337082,-0.0055240354501422395,0.00671156900486225,-0.004183229625197238,-0.006716629726186696,-0.00670335900739627,0.006711276415425627
332,0.00015120822349162788,-0.0007311131517308556,0.005182450413197315,0.005220536472036741,0.0052073663804726444,-0.0051768348612215576,0.0049511068693481874,0.0018750139590882342,-0.0052185265148522175,-0.005225834392081796,0.005225196874620253,-18623337747283863e-23,-17509646726976413e-23,-17400997265708262e-21,-1516909439900141e-20,-0.00017336226939398264,-13308608277570744e-23,0.00024536645369111626,-2280550461877806e-22,-0.00048955820728247,0.00012781593611610118,0.0005397940099710272
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,-0.0001647611493391099,-0.0008656591618898535,0.004466114812522459,-0.005202305006435315,-0.005124003308806135,-0.005121381733285524,-0.0046304488106909125,0.0022761113795357057,0.00515828217505504,0.005205892370653609,0.005153147265359814,7617224293682279e-23,7810374704972367e-23,710762444941504e-22,9219953029868111e-23,8174981054077934e-23,849294559575331e-22,7867017561696832e-23,7222601069480084e-23,8363506263063536e-23,-47103822960192776e-24,6983013085305745e-23
536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0.006284620252362316,-0.0107658548721008,-0.022500557050893377,0.022497931355213385,0.022492904827143168,-0.02245382182389921,0.022445827962246145,0.018479338092290076,-0.022493792535875246,-0.02250185980100139,-0.022491414111832864,-0.0003066590655755319,5625329000863433e-21,-0.003301837441407801,0.0026002621990547925,-0.003294312212808209,-0.00026419454772480533,0.003269450057406781,-0.0015472759956517423,-0.003201284825730122,-0.0032411760142365964,0.003278054035782546
453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,-0.00120227215941332,-0.002071445038897668,-0.00880431256093367,0.00888345640523025,-0.008887099416564403,-0.008849668290798973,0.008876532459440367,-0.002473902997966959,-0.008886332091193994,-0.0088898579095395,0.00887834397339582,-9818521578514039e-20,32643455323277948e-22,-0.0021400370722644696,0.001975833801721838,-0.0021786108361983997,-0.0012485006979171265,0.0021716452087380406,-0.000658392742032235,-0.0021766604743198997,-0.0021649296684556896,0.002171335075657213
605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,-4607904920067574e-20,-0.0007437814442530777,-0.004531411566845112,0.005259893421643902,-0.005250729013951683,-0.005219151058277582,0.005262546821599046,0.0010568704844198806,-0.005261061117426913,-0.0052658333115621625,0.005262709345283723,-9697266979830088e-22,-9486174312664519e-22,-25029456496294955e-23,-24112674325858785e-21,59878945222746616e-22,1815961838479152e-21,-3527254323268392e-20,-9760044670167889e-22,4389565422912439e-20,0.0002997891157534155,-12738947466700568e-21
596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.00010361652162049761,-0.004575410536919011,0.013878723572125051,0.013957479235747305,0.013916784756456635,-0.013906645592206668,-0.013935046994159261,0.008230502085833535,-0.013960694505193216,-0.013965758146017526,-0.013802291783898912,-2885151677400888e-21,-11271607165408426e-22,-0.001793973753078798,0.001044454310936499,-0.0028646697873609683,-0.000250211660064642,0.0029862206447935913,-12956709245531828e-21,-0.0030198809943478566,-0.0029156979605219346,0.0029294516535608994
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,-0.0022140812808748578,-0.0059737629397284,-0.015536322267665104,0.015790845555850197,-0.015790643835463802,-0.015757306102918922,0.01577418480371018,0.0038649760119845444,-0.015793188600995434,-0.015797852100644105,0.01578136378825523,-11556877988094794e-21,-11209714881166288e-21,-21612257192771267e-21,0.00028478685573887774,-0.00022825340663013005,-54569471781423795e-21,7768538348071341e-20,-10969179324249456e-21,-0.0006673997956307687,-0.0028370589226731635,4620326065019054e-21
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,-2832867191987498e-20,-0.00016566852829813516,0.0026028761945810774,-0.002796369404086424,-0.00257529785218108,0.0023989244526105846,-0.002764405094014488,0.0004933169881443933,0.002819148989261694,0.002823598720582743,0.002778987087867779,-26558853082059297e-24,27234421083599525e-23,-23140904024943065e-22,-4095833551789885e-20,-7368909947645663e-21,0.0010345164931144027,11845936020209169e-21,5685063898808185e-23,-0.00084057132287544,-0.00022305675429652727,-1950579803233765e-22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,-0.0076459002863173975,-0.0066565659739280525,-0.016982666487402986,0.016993522164177377,-0.016997081489373178,-0.016953064671234475,0.016992536950083514,-0.014738558890337261,-0.01699282792997936,-0.01699786185523955,0.01699198166266136,-0.000957073653337942,2438137458832257e-20,-0.003913213955846262,0.00346695871309019,-0.003919587823910664,-0.0017290820628012016,0.003916459797512872,-0.0030089044037240886,-0.0039099160466276595,-0.0038959354452822448,0.003917357889778067
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,-0.0010019985209422932,0.011979657349690198,0.01471684841538945,-0.014987927491926123,-0.01482307367566238,-0.014844561661384037,-0.014918585265626172,0.00889617636815132,0.014989957840940038,0.014995896636791572,0.014949224860489552,-21540393441155103e-24,-0.001948741149897959,-15362578439093166e-22,-0.00019619858249193822,-28590899548569526e-22,-24823064637330416e-21,6469027174840769e-21,-47993319915451416e-24,-7420198899033004e-20,0.0019924803227964333,-10831068521510723e-22
450,-0.000598557452056947,-0.007586762061315477,-0.01747816628833676,0.018253878892920183,-0.018244691036227834,-0.018212919428530094,0.01825654030822499,0.009576219522240637,-0.018255044220622962,-0.018259832907935758,0.01825670407588087,-17507245733405785e-21,-17411443955728245e-21,-20109364568587917e-21,0.00010606166230980874,-5381710146573626e-20,-3177941089058112e-20,0.00016608739061751976,-1772031025973342e-20,-0.00025677394294282285,-0.0015454524311550866,44672029255676815e-21
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,-0.000828693653035284,-0.0047951930289775735,0.015272333522513115,-0.015467094167203821,-0.015226555745400772,0.01542271559541053,-0.015438953364446228,0.009530698253638059,0.01549326295943998,0.015497560048324033,0.01545359358808418,495230160632576e-20,9970369252904066e-21,-40005977223256384e-21,-0.0010746695128214523,-0.00014049616727421221,0.004272096048329899,0.0002431683149796693,61952965667022575e-22,-0.004154027481487993,0.003659997041740942,-6243053357612993e-23
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,-0.0016103841664902863,-0.001099640344657704,-0.006384596184838887,0.006403590844827889,-0.0064070600345501605,-0.006364132783901244,0.00639882292275884,-0.004769429595474106,-0.006402343689576484,-0.006407867411869939,0.006396151825249441,-0.00015928998527696414,14145457711417508e-22,-0.0013104284683397444,0.0010868328909950514,-0.0013196590108582873,-0.0002768226440891669,0.0013136642004804022,-0.0007647868290029392,-0.0013085438729022736,-0.0013035707275905056,0.0013151374718897435
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,-0.009275106958535062,-0.0286308339503063,-0.04292201914080174,0.043232425743197744,-0.04323054012624228,-0.04319778729364687,0.04323483826514929,0.030316214652299056,-0.0432381271861213,-0.043239845980409974,0.043235496287942876,-0.001380869524869488,574178673247161e-19,-0.015002138364900164,0.014908785721397755,-0.015055575466060844,-0.014586574801496721,0.015057892910745996,-0.0077280963621262355,-0.015058922388493268,-0.015054217501773937,0.015057615108571287
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,-6090170087091895e-20,-0.0029492010765245213,0.011008013576137232,0.011097149835475939,0.01104310319784818,-0.011037744634612046,-0.011072660474710672,0.005759978199309401,-0.01110463322163302,-0.011107674793663369,0.010450587276098489,-8717486069675928e-21,-9157741119120155e-21,0.0002221976081105137,0.002561784408529111,-0.0011134752340285492,-0.0008621039151939514,0.0028856502849617938,-10210903885587985e-21,-0.00300672502214544,-0.0029992461724441255,0.0012001249208754006
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0.000129721539988914,-0.0050460412956944145,0.014702120726135859,0.014787516281413171,0.01473859117336962,-0.01473778748958321,-0.014773792281103537,0.008899009605535246,-0.014787637943791676,-0.014795763754425928,0.01476990043995452,20603892847387284e-21,2309900306601831e-20,-0.0029241820830346044,0.0036618329284123785,-0.004325208721554591,-0.0009750988989434273,0.004474094142531138,1300417021288247e-22,-0.004496462746669955,-0.00446789917875845,0.004489502214601732
590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,-0.004490193641469631,-0.0072344999103204355,-0.01761240415582188,0.01769343854713712,-0.017697044795906502,-0.017659529033347665,0.017686335321358104,-0.0080757181422082,-0.01769628738847151,-0.01769985750229497,0.017688210153586348,-0.0004907045579682079,15689451132450127e-21,-0.004859657857383737,0.0046890912747516444,-0.004898604569512743,-0.00377980124287125,0.004891600873104779,-0.0026105777712787104,-0.004896644628417907,-0.004884937428702718,0.0048913059584763385
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,-0.0010620268091284801,-0.006842612242206059,-0.017185109577058877,0.017234862823081176,-0.017234515828692176,-0.01719312137543738,0.017234974220678878,0.003476566169307249,-0.01723460799222143,-0.017239846047129692,0.017235736875501395,5410902499891623e-21,5498198010378541e-21,-3405332256151139e-21,0.00012065537293359796,-8044375582136332e-20,-5373016014442733e-21,0.00010944793146933085,5674009891099008e-21,-0.00018187093789495679,-0.0013612730656396566,4155805435376858e-20
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,-0.02253919536129745,-0.04887233755270648,0.06032228027891762,-0.06148206753312735,-0.06139811617518198,-0.06140773956001366,-0.059747702096601074,0.04683911099821003,0.061450737699666025,0.061483978958847274,0.06142428661016419,29647724031300893e-21,30169128458212846e-21,28231869989348013e-21,7821664242047e-17,3119648205185399e-20,3195213444645573e-20,29023777850634147e-21,28230506651405474e-21,43506340249577224e-21,-0.0004944467478173453,28156165686188395e-21
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.00011298552526720074,-0.0006022990028659025,0.0046998181449330045,0.004740368411439627,0.00472539018762233,-0.004696624661015725,0.004136316590363426,0.001551233026849702,-0.004740104095491027,-0.004745831158859903,0.004745161324092612,-31636369990373225e-22,-16893966770514801e-22,-0.0017711007898269515,0.001834800489476457,-0.0024312118064067217,-0.0004632087983565403,0.0024674757730728247,-13115955740300445e-21,-0.002531549118771237,-0.0025174089052031057,0.002539712576455161
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,-0.0005687121794328287,-0.0022143414268620543,0.0014821947205954644,-0.008508514539900591,-0.00843365346247854,-0.00844483180003075,0.008180610621261075,0.00013354707951979128,-0.008088181784699777,-0.008509978898088078,0.008442523643003186,-44543141539121756e-22,-4165080905366159e-21,-41052562123028435e-21,0.003283000712120704,-5488536157544077e-20,-9498647939898408e-20,0.00013786979371832597,-9740045472494963e-21,-0.001129863906216555,-0.003492257505847224,-41060836923206834e-21
252,27950490952943774e-21,-0.006287528837505163,0.01657050670544291,0.016648969792609436,0.016610382546663582,-0.016595774842192546,-0.016628418676675083,0.010642603446211152,-0.016651507110664876,-0.01665773930668213,-0.016545261569765435,-48629113163889404e-21,-48655068048381045e-21,6408350608241853e-20,0.0019250540488319479,0.0003503677475069633,-0.0003298372994649801,-0.0003212758369781077,-4914403753933372e-20,-0.003333538906499317,-0.004693599697137202,-0.00023642062397866148
550,-0.00026439088911139885,-0.0013933684562624227,0.0056448701608476926,-0.006365072982481845,-0.006280798777701657,-0.006285419709408713,-0.005929707153086328,0.0024788169099211887,0.006340698986260218,0.0063679665043405165,0.006313406815193712,-13104717715567427e-22,-13582218196944718e-22,-7620049386425354e-21,-0.0005794131375088107,-16387151951069434e-21,-3345697652654134e-20,28058478400858067e-21,-12633063466993555e-22,-0.00034363020482347517,0.0018039041448359994,-462169319984107e-20
660,-0.0015798077926988396,-0.006868684602176489,0.014544295902830906,-0.015373638744022311,-0.015286881207880465,-0.01529509845791821,-0.014849850389259012,0.007784381400514406,0.015351544108185178,0.015375984262057663,0.01531906551491291,-5797160972820237e-21,-6631132514089977e-21,57125556900572416e-21,0.003075471352493725,4390917824648177e-20,8431902433692073e-20,-0.00024622579261046607,4088378177197205e-21,0.0011289961341852395,0.0032783899518746273,7381908909370738e-20
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,-0.00015068318999747476,-0.0004326722012468476,-0.00375026662800923,0.0039568742795119405,-0.003957620107430809,-0.003923590175839764,0.003942952246910603,0.00018920084520360203,-0.003959526885634779,-0.003963852503984788,0.003948619222020638,-19620334816436436e-21,-3000064881839015e-21,-0.001957654917679477,0.0015745341362628645,-0.002171428138189893,-0.0005470159385387585,0.0021472890392680855,-0.0001212860522329523,-0.002168334484598272,-0.0021422018769713114,0.002143577889400533
462,-7099972431309776e-20,-0.0004547629926800467,-0.004056651531358979,0.004098842757338239,-0.00409909047134599,-0.004057082016023533,0.004099251342783217,0.00013521072238592557,-0.004098669378306413,-0.004103845035035886,0.004099991225581134,-3119615673702336e-20,23827696319644875e-22,-0.002613819575062598,0.0006158098945101276,-0.002654059725468033,-0.0002254035874546534,0.002651544103917325,-0.00022840761577011537,-0.002629964433976284,-0.0025589440537386043,0.0026536497290954864
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.00018253767691739364,-0.001590550142001712,0.006191095185675122,-0.006459996400208556,-0.00629788596672487,-0.006315974045233652,-0.006390341307556113,0.0022495232726301717,0.006461934634260702,0.006467897337308737,0.006421064274084842,-51053838444337085e-22,-5159164531531868e-21,-6826793307809775e-21,-0.00022491032155508295,-8651270954590506e-21,-29672928531315756e-21,25098260554023977e-22,-51547754887359964e-22,-904201507030411e-19,0.0022737009786754775,-62811770375759135e-22
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,0.0017462525053417721,-0.021006997508724812,0.03506726236681024,0.03513206390492862,0.03510561011284197,-0.03508176455551548,-0.03511095762932004,0.02854345301003791,-0.03512920768912542,-0.03513977779145394,-0.035104751767945475,-6165574934235973e-20,-60635045100898566e-21,-0.001851739131440322,0.010260613553013775,-0.008453529355527012,-0.005969517844083283,0.009724157495359043,-7864886113628788e-20,-0.011129570568116032,-0.011215788387275105,0.010979642691929081
643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.00013067849292458522,-0.005056404804008929,0.01466908974390646,0.0147474574882962,0.014710089317366948,-0.014696470662426298,-0.014727822826338888,0.008940286594939839,-0.014747577343742768,-0.014755757859660434,-0.014633602378611443,0,0,0,0,0,0,0,0,0,0,0
610,-0.002141978733231631,-0.005080649714170549,-0.014506468665058891,0.014531143338298635,-0.014533985976243557,-0.014489773338043355,0.014531476248476394,-0.007326187085821334,-0.014530807897250364,-0.014535851938724309,0.014531933981617562,-0.0005959113546253059,12531006242072484e-21,-0.0048503955047116964,0.0045068949343646525,-0.004859610403980752,-0.0028394882105554076,0.0048579216535107606,-0.0029793798324724285,-0.004852116699174486,-0.00484738642265739,0.0048584471227872406
456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,-0.003952767974790605,-0.010116901091849151,-0.019193377944173973,0.020239312103906615,-0.020174356842966312,-0.02018157281336208,0.02007753088227049,-0.018698501832752012,-0.020201984102941384,-0.02023996889681301,0.020159051283652252,-8367411476889464e-22,-45257286014621645e-23,-9244557304551732e-20,0.0005797401182994939,-0.0003889724321061022,-8223555397843946e-20,0.00015336803524662254,-0.00020092907095715581,-0.0004516835531714995,0.0005789992016649037,-5049154867956332e-20
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,-0.0011739905219068647,-0.0020899534470888437,-0.008839486672735486,0.00892343281611141,-0.00892694171641606,-0.008889533762343083,0.008915974809128202,-0.0022490134590407718,-0.008926218721346635,-0.008929857379736061,0.008917950529234442,-6350819977475608e-20,20749979456752277e-22,-0.0017197638494114154,0.001548499909153206,-0.001758598325470151,-0.0008711553049453868,0.0017515735831562101,-0.00043885080252192843,-0.0017566270549628643,-0.0017421463632507073,0.0017512526970265008
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
